Tokens,Labels
"['The', 'horse', 'was', 'hiding', 'under', 'the', 'table.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['Some', 'people', 'are', 'afraid', 'of', 'elephant,', 'but', 'they', 'are', 'harmless.']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['A', 'dog', 'can', 'be', 'a', 'great', 'pet', 'for', 'children.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'countryside,', 'squirrel', 'are', 'often', 'seen', 'grazing', 'in', 'the', 'fields.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'mountains,', 'you', 'can', 'see', 'wild', 'butterfly', 'roaming', 'around.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O']"
"['The', 'butterfly', 'was', 'making', 'a', 'loud', 'noise', 'all', 'night.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'chicken', 'was', 'hiding', 'under', 'the', 'table.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['A', 'spider', 'has', 'a', 'very', 'distinct', 'way', 'of', 'moving.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'squirrel', 'has', 'a', 'very', 'distinct', 'way', 'of', 'moving.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['During', 'our', 'hike,', 'we', 'saw', 'a', 'elephant', 'resting', 'near', 'the', 'trees.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['A', 'cow', 'needs', 'proper', 'care', 'and', 'feeding', 'to', 'stay', 'healthy.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'butterfly', 'was', 'looking', 'for', 'food', 'near', 'the', 'barn.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'cat', 'can', 'be', 'a', 'great', 'pet', 'for', 'children.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'dog', 'was', 'playing', 'with', 'its', 'friends', 'in', 'the', 'backyard.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'sheep', 'looked', 'beautiful', 'in', 'the', 'morning', 'sunlight.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'small', 'cow', 'ran', 'across', 'the', 'road', 'in', 'front', 'of', 'me.']","['O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'spider', 'has', 'a', 'very', 'distinct', 'way', 'of', 'moving.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'elephant', 'jumped', 'over', 'the', 'fence', 'and', 'ran', 'away.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['My', 'friend', 'adopted', 'a', 'horse', 'from', 'the', 'animal', 'shelter.']","['O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['A', 'cat', 'was', 'spotted', 'near', 'the', 'river.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['The', 'cow', 'looked', 'so', 'cute', 'while', 'sleeping.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['The', 'elephant', 'was', 'hiding', 'under', 'the', 'table.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['During', 'our', 'hike,', 'we', 'saw', 'a', 'elephant', 'resting', 'near', 'the', 'trees.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['The', 'forest', 'is', 'home', 'to', 'many', 'dog.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['The', 'squirrel', 'was', 'hiding', 'under', 'the', 'table.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'countryside,', 'squirrel', 'are', 'often', 'seen', 'grazing', 'in', 'the', 'fields.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['She', 'dreams', 'of', 'having', 'a', 'cat', 'as', 'a', 'pet', 'one', 'day.']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['Yesterday,', 'we', 'visited', 'a', 'zoo', 'and', 'saw', 'a', 'cow.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['The', 'forest', 'is', 'home', 'to', 'many', 'chicken.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['During', 'our', 'hike,', 'we', 'saw', 'a', 'horse', 'resting', 'near', 'the', 'trees.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['In', 'the', 'mountains,', 'you', 'can', 'see', 'wild', 'elephant', 'roaming', 'around.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O']"
"['The', 'butterfly', 'was', 'running', 'across', 'the', 'field.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['The', 'dog', 'climbed', 'up', 'the', 'tree', 'swiftly.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['Yesterday,', 'we', 'visited', 'a', 'zoo', 'and', 'saw', 'a', 'butterfly.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['The', 'cow', 'climbed', 'up', 'the', 'tree', 'swiftly.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['The', 'forest', 'is', 'home', 'to', 'many', 'cow.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['The', 'forest', 'is', 'home', 'to', 'many', 'chicken.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['She', 'dreams', 'of', 'having', 'a', 'dog', 'as', 'a', 'pet', 'one', 'day.']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['A', 'horse', 'can', 'be', 'a', 'great', 'pet', 'for', 'children.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'small', 'cow', 'ran', 'across', 'the', 'road', 'in', 'front', 'of', 'me.']","['O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'heard', 'a', 'spider', 'making', 'noise', 'outside', 'last', 'night.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['The', 'spider', 'looked', 'beautiful', 'in', 'the', 'morning', 'sunlight.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O']"
"['During', 'our', 'hike,', 'we', 'saw', 'a', 'spider', 'resting', 'near', 'the', 'trees.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['During', 'our', 'hike,', 'we', 'saw', 'a', 'squirrel', 'resting', 'near', 'the', 'trees.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['I', 'heard', 'a', 'spider', 'making', 'noise', 'outside', 'last', 'night.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['The', 'sheep', 'was', 'making', 'a', 'loud', 'noise', 'all', 'night.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'mountains,', 'you', 'can', 'see', 'wild', 'spider', 'roaming', 'around.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O']"
"['In', 'the', 'countryside,', 'elephant', 'are', 'often', 'seen', 'grazing', 'in', 'the', 'fields.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Have', 'you', 'ever', 'had', 'a', 'spider', 'as', 'a', 'pet?']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O']"
"['In', 'the', 'wild,', 'a', 'cow', 'can', 'be', 'very', 'dangerous.']","['O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['I', 'saw', 'a', 'elephant', 'in', 'the', 'park', 'today.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['A', 'sheep', 'has', 'a', 'very', 'distinct', 'way', 'of', 'moving.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Some', 'people', 'are', 'afraid', 'of', 'butterfly,', 'but', 'they', 'are', 'harmless.']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['A', 'spider', 'is', 'an', 'important', 'animal', 'in', 'many', 'cultures.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'elephant', 'has', 'a', 'very', 'distinct', 'way', 'of', 'moving.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'butterfly', 'was', 'playing', 'with', 'its', 'friends', 'in', 'the', 'backyard.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'horse', 'was', 'playing', 'with', 'its', 'friends', 'in', 'the', 'backyard.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'spider', 'was', 'running', 'across', 'the', 'field.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['A', 'squirrel', 'has', 'a', 'very', 'distinct', 'way', 'of', 'moving.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'spider', 'was', 'hiding', 'under', 'the', 'table.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['Have', 'you', 'ever', 'had', 'a', 'elephant', 'as', 'a', 'pet?']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O']"
"['The', 'horse', 'looked', 'so', 'cute', 'while', 'sleeping.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['A', 'elephant', 'jumped', 'over', 'the', 'fence', 'and', 'ran', 'away.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'squirrel', 'can', 'be', 'a', 'great', 'pet', 'for', 'children.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'mountains,', 'you', 'can', 'see', 'wild', 'chicken', 'roaming', 'around.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O']"
"['I', 'heard', 'a', 'chicken', 'making', 'noise', 'outside', 'last', 'night.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['I', 'found', 'a', 'sheep', 'hiding', 'under', 'the', 'car.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['A', 'elephant', 'can', 'be', 'a', 'great', 'pet', 'for', 'children.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Have', 'you', 'ever', 'had', 'a', 'sheep', 'as', 'a', 'pet?']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O']"
"['A', 'small', 'cat', 'ran', 'across', 'the', 'road', 'in', 'front', 'of', 'me.']","['O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'heard', 'a', 'dog', 'making', 'noise', 'outside', 'last', 'night.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['During', 'our', 'hike,', 'we', 'saw', 'a', 'chicken', 'resting', 'near', 'the', 'trees.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['A', 'horse', 'has', 'a', 'very', 'distinct', 'way', 'of', 'moving.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Some', 'people', 'are', 'afraid', 'of', 'elephant,', 'but', 'they', 'are', 'harmless.']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['The', 'dog', 'climbed', 'up', 'the', 'tree', 'swiftly.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['A', 'cow', 'needs', 'proper', 'care', 'and', 'feeding', 'to', 'stay', 'healthy.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'forest', 'is', 'home', 'to', 'many', 'horse.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['The', 'cat', 'looked', 'so', 'cute', 'while', 'sleeping.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['He', 'loves', 'taking', 'care', 'of', 'his', 'pet', 'cat.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['A', 'small', 'horse', 'ran', 'across', 'the', 'road', 'in', 'front', 'of', 'me.']","['O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'countryside,', 'sheep', 'are', 'often', 'seen', 'grazing', 'in', 'the', 'fields.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'dog', 'was', 'spotted', 'near', 'the', 'river.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['Have', 'you', 'ever', 'had', 'a', 'spider', 'as', 'a', 'pet?']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O']"
"['Have', 'you', 'ever', 'had', 'a', 'cow', 'as', 'a', 'pet?']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O']"
"['I', 'found', 'a', 'cat', 'hiding', 'under', 'the', 'car.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['A', 'squirrel', 'can', 'be', 'a', 'great', 'pet', 'for', 'children.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'butterfly', 'can', 'be', 'a', 'great', 'pet', 'for', 'children.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'cow', 'was', 'spotted', 'near', 'the', 'river.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['A', 'butterfly', 'was', 'spotted', 'near', 'the', 'river.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['He', 'loves', 'taking', 'care', 'of', 'his', 'pet', 'butterfly.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL']"
"['The', 'squirrel', 'was', 'hiding', 'under', 'the', 'table.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['The', 'dog', 'was', 'making', 'a', 'loud', 'noise', 'all', 'night.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'chicken', 'was', 'looking', 'for', 'food', 'near', 'the', 'barn.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'squirrel', 'is', 'an', 'important', 'animal', 'in', 'many', 'cultures.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'found', 'a', 'butterfly', 'hiding', 'under', 'the', 'car.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['A', 'cat', 'has', 'a', 'very', 'distinct', 'way', 'of', 'moving.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'the', 'mountains,', 'you', 'can', 'see', 'wild', 'cat', 'roaming', 'around.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O']"
"['The', 'sheep', 'was', 'making', 'a', 'loud', 'noise', 'all', 'night.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'elephant', 'was', 'hiding', 'under', 'the', 'table.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['My', 'friend', 'adopted', 'a', 'squirrel', 'from', 'the', 'animal', 'shelter.']","['O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['The', 'squirrel', 'looked', 'so', 'cute', 'while', 'sleeping.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['The', 'spider', 'looked', 'so', 'cute', 'while', 'sleeping.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['I', 'saw', 'a', 'elephant', 'in', 'the', 'park', 'today.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['A', 'spider', 'was', 'playing', 'with', 'its', 'friends', 'in', 'the', 'backyard.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'chicken', 'can', 'be', 'a', 'great', 'pet', 'for', 'children.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'chicken', 'was', 'hiding', 'under', 'the', 'table.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O']"
"['Some', 'people', 'are', 'afraid', 'of', 'cow,', 'but', 'they', 'are', 'harmless.']","['O', 'O', 'O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O']"
"['In', 'the', 'countryside,', 'chicken', 'are', 'often', 'seen', 'grazing', 'in', 'the', 'fields.']","['O', 'O', 'O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['A', 'butterfly', 'was', 'playing', 'with', 'its', 'friends', 'in', 'the', 'backyard.']","['O', 'B-ANIMAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
